product_code,name,description,title,artist_code,product_type_code,format,unit_price,unit_cost,status,created,last_updated
100163,JOB001 Ergophobia caudle,BL RA JOB001 Ergophobia caudle,Ergophobia caudle,JOB001,BL,RA,0.79,0.2795,AC,2007-02-20 10:34:09.000,2006-04-02 19:30:50.000
101527,CHE002 Dogs plurals wide,BM MPEG-2 CHE002 Dogs plurals wide,Dogs plurals wide,CHE002,BM,MPEG-2,5.99,3.0547,AC,2007-01-05 03:52:40.000,2006-02-02 02:40:56.000
101759,OTT001 Saggar doe,BM DSD OTT001 Saggar doe,Saggar doe,OTT001,BM,DSD,4.89,2.4286,AC,2005-08-16 00:01:06.000,2007-02-05 15:40:02.000
102144,ELE001 Panorama internet,CC SACD ELE001 Panorama internet,Panorama internet,ELE001,CC,SACD,6.89,3.2358,AC,2006-04-27 14:50:51.000,2006-06-06 21:56:20.000
102465,CHR008 Pulling initialisms,CC DVD-18 CHR008 Pulling initialisms,Pulling initialisms,CHR008,CC,DVD-18,10.89,6.3542,AC,2006-05-15 06:02:52.000,2005-09-13 11:49:26.000
102797,CHR013 Bootless minute,AK DVD-5 CHR013 Bootless minute,Bootless minute,CHR013,AK,DVD-5,8.39,4.8076,AC,2007-04-11 00:48:33.000,2005-12-14 17:55:37.000
102813,LUC002 Mind pair,BG DVD-18 LUC002 Mind pair,Mind pair,LUC002,BG,DVD-18,11.19,6.3542,AC,2005-11-29 02:27:58.000,2005-11-22 10:13:07.000
103308,JON002 Heart disintegration,AP HMC JON002 Heart disintegration,Heart disintegration,JON002,AP,HMC,2.79,1.5089,AC,2006-11-18 16:43:19.000,2006-04-20 06:30:00.000
103491,TON001 Pinkie pull,CD ALS TON001 Pinkie pull,Pinkie pull,TON001,CD,ALS,0.89,0.4883,AC,2005-12-02 09:01:49.000,2006-03-18 10:18:03.000
103696,ROS004 Scott palimpsest,BK AB-CG ROS004 Scott palimpsest,Scott palimpsest,ROS004,BK,AB-CG,1.89,1.1392,AC,2005-06-21 03:47:47.000,2005-12-07 13:28:53.000
103889,JAS002 Cruciverbalist jobbernowl,AW DVD-18 JAS002 Cruciverbalist jobbernowl,Cruciverbalist jobbernowl,JAS002,AW,DVD-18,10.99,6.3542,AC,2007-01-23 23:08:37.000,2005-09-04 16:12:49.000
104413,ILA001 Nibs flonking,CA DVD-9 ILA001 Nibs flonking,Nibs flonking,ILA001,CA,DVD-9,9.19,5.0642,AC,2006-03-19 08:19:59.000,2006-12-07 01:26:04.000
104633,CHR006 Tour happy,BA BSMP CHR006 Tour happy,Tour happy,CHR006,BA,BSMP,0.79,0.4744,AC,2006-10-20 04:43:25.000,2005-09-16 07:47:03.000
104858,HUE003 Pinchbeck nuts,AP DVD-10 HUE003 Pinchbeck nuts,Pinchbeck nuts,HUE003,AP,DVD-10,10.09,5.9432,AC,2006-11-19 08:42:27.000,2006-01-16 07:07:15.000
104923,MIC003 Teapot war,BB AB-Z3 MIC003 Teapot war,Teapot war,MIC003,BB,AB-Z3,1.59,0.8474,AC,2005-12-08 14:08:54.000,2005-08-03 09:24:39.000
105627,NIC002 Spoon mad,BC MPEG-4 NIC002 Spoon mad,Spoon mad,NIC002,BC,MPEG-4,7.49,3.6609,AC,2005-12-21 22:15:52.000,2005-10-13 06:39:51.000
106248,JOB001 Techgnosis labretifery,BU MPEG-4 JOB001 Techgnosis labretifery,Techgnosis labretifery,JOB001,BU,MPEG-4,7.39,3.6609,AC,2006-02-27 03:46:30.000,2006-01-07 20:36:54.000
106563,MAU001 Fawkes giddy,CC HA MAU001 Fawkes giddy,Fawkes giddy,MAU001,CC,HA,2.19,0.9544,AC,2005-11-18 03:47:57.000,2006-03-04 11:28:56.000
